iter	Passed	Remaining
0	141	140875
1	144	71991
2	147	48989
3	150	37518
4	156	31165
5	159	26402
6	162	22988
7	164	20420
8	171	18841
9	174	17250
10	177	15936
11	182	15014
12	186	14177
13	189	13348
14	192	12630
15	194	11959
16	198	11493
17	201	10973
18	203	10504
19	205	10076
20	207	9693
21	211	9419
22	215	9149
23	217	8856
24	220	8590
25	223	8358
26	226	8176
27	229	7972
28	231	7759
29	233	7561
30	236	7379
31	238	7202
32	241	7079
33	243	6929
34	246	6800
35	248	6661
36	251	6546
37	253	6422
38	259	6398
39	261	6282
40	264	6180
41	266	6075
42	268	5974
43	272	5927
44	275	5840
45	277	5755
46	279	5668
47	281	5590
48	283	5508
49	286	5438
50	288	5365
51	290	5290
52	292	5222
53	294	5155
54	297	5107
55	300	5065
56	302	5004
57	304	4943
58	306	4891
59	308	4835
60	310	4781
61	314	4758
62	316	4712
63	319	4668
64	321	4620
65	323	4573
66	325	4527
67	327	4490
68	329	4452
69	332	4413
70	334	4376
71	336	4337
72	338	4297
73	340	4257
74	342	4222
75	344	4191
76	346	4158
77	348	4121
78	350	4086
79	352	4052
80	354	4019
81	356	3986
82	356	3941
83	359	3924
84	362	3897
85	364	3870
86	366	3844
87	368	3815
88	370	3788
89	372	3761
90	375	3755
91	378	3733
92	380	3711
93	382	3685
94	384	3666
95	386	3642
96	390	3638
97	393	3623
98	395	3603
99	398	3583
100	400	3564
101	402	3543
102	407	3552
103	410	3534
104	412	3517
105	414	3496
106	417	3481
107	420	3470
108	422	3456
109	425	3440
110	427	3422
111	429	3405
112	431	3387
113	433	3368
114	436	3356
115	438	3341
116	440	3321
117	442	3305
118	444	3291
119	446	3273
120	448	3256
121	452	3254
122	454	3238
123	456	3222
124	458	3206
125	460	3191
126	461	3171
127	463	3159
128	466	3149
129	468	3136
130	471	3125
131	473	3111
132	475	3096
133	477	3085
134	481	3087
135	484	3076
136	486	3064
137	488	3054
138	491	3045
139	493	3033
140	497	3033
141	499	3017
142	501	3007
143	504	2997
144	506	2985
145	508	2975
146	512	2974
147	515	2965
148	517	2956
149	519	2945
150	521	2934
151	524	2925
152	527	2917
153	529	2909
154	531	2897
155	533	2886
156	535	2876
157	537	2865
158	539	2854
159	543	2851
160	545	2840
161	547	2834
162	549	2823
163	551	2812
164	553	2800
165	555	2791
166	558	2784
167	560	2775
168	562	2767
169	565	2760
170	567	2752
171	570	2746
172	573	2739
173	576	2734
174	578	2725
175	580	2717
176	582	2710
177	584	2700
178	588	2699
179	591	2693
180	594	2688
181	596	2680
182	598	2672
183	601	2666
184	605	2665
185	608	2663
186	610	2656
187	613	2648
188	615	2641
189	617	2632
190	622	2636
191	624	2629
192	627	2622
193	629	2614
194	631	2605
195	635	2605
196	637	2599
197	640	2593
198	642	2585
199	644	2579
200	646	2571
201	649	2566
202	652	2559
203	654	2554
204	656	2546
205	658	2539
206	661	2532
207	662	2524
208	665	2520
209	669	2518
210	671	2512
211	673	2504
212	675	2496
213	677	2488
214	680	2486
215	683	2481
216	686	2475
217	688	2468
218	690	2460
219	692	2454
220	694	2447
221	697	2442
222	699	2436
223	701	2430
224	703	2422
225	705	2415
226	707	2407
227	708	2400
228	712	2398
229	714	2392
230	717	2387
231	719	2382
232	722	2377
233	725	2373
234	727	2369
235	729	2362
236	732	2357
237	734	2350
238	736	2344
239	738	2338
240	742	2337
241	745	2334
242	748	2331
243	751	2327
244	753	2321
245	757	2321
246	759	2316
247	762	2311
248	764	2306
249	767	2301
250	769	2295
251	772	2293
252	775	2289
253	777	2283
254	780	2279
255	785	2282
256	788	2279
257	790	2273
258	792	2268
259	795	2263
260	797	2257
261	799	2251
262	801	2245
263	805	2244
264	807	2240
265	810	2235
266	812	2229
267	814	2223
268	816	2217
269	819	2215
270	822	2212
271	824	2207
272	826	2201
273	828	2196
274	831	2192
275	835	2192
276	838	2188
277	840	2183
278	842	2177
279	844	2172
280	847	2169
281	850	2166
282	853	2161
283	855	2156
284	857	2152
285	860	2147
286	865	2149
287	868	2146
288	870	2141
289	872	2136
290	874	2131
291	877	2126
292	881	2127
293	884	2123
294	886	2118
295	888	2113
296	890	2108
297	892	2102
298	895	2100
299	898	2096
300	900	2091
301	902	2087
302	904	2081
303	907	2076
304	909	2073
305	912	2069
306	914	2064
307	916	2059
308	918	2054
309	921	2050
310	923	2045
311	939	2071
312	944	2072
313	946	2067
314	948	2062
315	950	2057
316	952	2053
317	954	2047
318	958	2046
319	961	2042
320	963	2038
321	965	2033
322	967	2028
323	970	2024
324	973	2021
325	975	2017
326	978	2013
327	980	2008
328	982	2004
329	984	1999
330	988	1997
331	991	1994
332	993	1989
333	995	1985
334	997	1980
335	999	1975
336	1002	1972
337	1004	1968
338	1007	1963
339	1009	1959
340	1011	1954
341	1013	1949
342	1015	1944
343	1017	1941
344	1020	1936
345	1022	1932
346	1024	1928
347	1027	1924
348	1028	1919
349	1031	1914
350	1035	1914
351	1038	1911
352	1040	1907
353	1043	1903
354	1046	1901
355	1055	1910
356	1058	1906
357	1060	1902
358	1064	1900
359	1066	1896
360	1069	1893
361	1071	1888
362	1073	1884
363	1076	1880
364	1081	1880
365	1084	1878
366	1086	1874
367	1089	1870
368	1091	1866
369	1096	1867
370	1100	1866
371	1103	1862
372	1105	1858
373	1108	1855
374	1112	1853
375	1115	1850
376	1117	1846
377	1119	1842
378	1122	1838
379	1125	1835
380	1128	1833
381	1130	1829
382	1133	1825
383	1135	1822
384	1138	1818
385	1143	1818
386	1145	1814
387	1147	1810
388	1150	1806
389	1152	1802
390	1154	1798
391	1157	1795
392	1159	1791
393	1162	1787
394	1164	1783
395	1166	1778
396	1168	1774
397	1170	1770
398	1173	1767
399	1175	1763
400	1177	1758
401	1179	1754
402	1181	1750
403	1183	1745
404	1185	1741
405	1188	1738
406	1190	1734
407	1192	1730
408	1195	1726
409	1197	1722
410	1199	1719
411	1202	1715
412	1204	1712
413	1207	1708
414	1209	1704
415	1211	1700
416	1213	1696
417	1215	1692
418	1218	1689
419	1220	1685
420	1222	1681
421	1224	1677
422	1227	1673
423	1229	1669
424	1230	1665
425	1235	1664
426	1237	1660
427	1239	1656
428	1241	1652
429	1243	1647
430	1244	1643
431	1247	1639
432	1250	1637
433	1253	1634
434	1255	1631
435	1258	1627
436	1260	1623
437	1262	1619
438	1265	1616
439	1267	1613
440	1269	1609
441	1272	1605
442	1274	1602
443	1275	1597
444	1277	1593
445	1281	1592
446	1284	1589
447	1287	1586
448	1289	1582
449	1291	1578
450	1294	1575
451	1297	1572
452	1299	1569
453	1301	1565
454	1303	1561
455	1305	1557
456	1307	1553
457	1309	1549
458	1312	1546
459	1314	1543
460	1316	1539
461	1318	1535
462	1320	1531
463	1322	1527
464	1324	1523
465	1328	1521
466	1330	1518
467	1332	1515
468	1334	1511
469	1336	1507
470	1338	1503
471	1341	1500
472	1343	1497
473	1346	1494
474	1348	1490
475	1350	1486
476	1352	1483
477	1354	1479
478	1358	1477
479	1360	1474
480	1362	1470
481	1365	1467
482	1367	1463
483	1368	1459
484	1370	1455
485	1374	1453
486	1376	1450
487	1378	1446
488	1380	1442
489	1382	1439
490	1385	1435
491	1388	1433
492	1390	1430
493	1392	1426
494	1394	1422
495	1396	1419
496	1398	1415
497	1400	1411
498	1404	1409
